ngram,frequency
exact category,3
filtered colimit,3
important example,3
ramification groupoid,3
complete spread,3
many generator,3
such notion,3
homotopy kernel,3
simplicial model category,3
simplicial model,3
Hopf monad,3
new type,3
Stone duality,3
fundamental category,3
projective module,3
homotopy double groupoid,3
tensor product,3
pointed endofunctor,3
algebraic lattice,3
homology theory,3
previous paper,3
equivariant stable homotopy,3
stable homotopy theory,3
linear bicategorie,3
linear bicategory,3
linear setting,3
Birkhoff subcategory,3
sufficient condition,3
different context,3
terminal coalgebra,3
such monad,3
light factorization,3
reflexive graph,3
homotopy equivalence,3
set theory,3
new way,3
stuff type,3
base space,3
quantum field theory,3
suitable subcategory,3
representation theory,3
boolean flow,3
Stone space,3
free restriction category,3
free restriction,3
cubical nerve,3
categorical model,3
natural deduction,3
categorical approach,3
topological cospan,3
classical theorem,3
associative algebra,3
bundle gerbe,3
core algebra,3
abstract core,3
cartesian bicategory,3
module structure,3
full embedding,3
initial object,3
parametric LAPL structure,3
LAPL structure,3
local connectedness,3
new class,3
Mal’tsev operation,3
injective space,3
arbitrary morphism,3
coKleisli category,3
canonical way,3
globular complex,3
Hecke algebra,3
Hilbert space,3
state space,3
geometric realization,3
deformation theory,3
pointed regular category,3
diagram lemma,3
embedding theorem,3
Grothendieck descent,3
categorical algebra,3
symmetric multicategorie,3
globular operad,3
related structure,3
standard construction,3
dual equivalence,3
stochastic automaton,3
probability monad,3
Möbius interval,3
homotopy category,3
usual tensor product,3
usual tensor,3
group theory,3
Quillen model structure,3
weak factorization system,3
coreflective subcategorie,3
bisimplicial set,3
vertical morphism,3
algebraic description,3
inverse category,3
range category,3
base ring,3
relative cell complex,3
relative cell,3
string diagram,3
idempotent pseudomonad,3
idempotent pseudomonad,3
weak double category,3
smash product,3
categorical context,3
strong relation,3
realizability topos,3
strict unit,3
Isbell completion,3
tight span,3
parallel transport,3
abelian gerbe,3
projective model structure,3
dimensional vector space,3
certain property,3
homotopy bicategory,3
pointwise Kan extension,3
concrete example,3
monetary value measure,3
monetary value,3
value measure,3
probability distribution,3
topological functor,3
spectral space,3
universal object,3
like structure,3
theoretic term,3
magnetic monopole,3
generalized covering,3
universe category functor,3
last section,3
Lie groupoid,3
Frobenius structure,3
Segal space,3
complete distributivity,3
proximity Dedekind vector,3
Dedekind vector,3
Frobenius monoid,3
Joyal model structure,3
Joyal model,3
spectral vector bundle,3
snail lemma,3
main theorem,3
symmetric quandle,3
Huq commutator,3
Mal’tsev object,3
Mal’tsev object,3
split extension,3
hypercrossed complex,3
reaction network,3
bimonoidal functor,3
tangent category,3
effective category,3
weak cofibration category,3
weak cofibration,3
cofibration category,3
Vessiot ring,3
tangent functor,3
Witt vector,3
structure map,3
et al,3
split monomorphism,3
symmetric sequence,3
tube algebra,3
hypergraph functor,3
lax pullback complement,3
pullback complement,3
canonical triangulation,3
monoidal version,3
double category construction,3
complete metric space,3
noetherian form,3
operadic nerve,3
equivariant operad,3
monic skeleta,3
multiplicative vector field,3
multiplicative vector,3
majority category,3
Mal’tsev majority,3
PIE limit,3
network model,3
skew monoidal category,3
word problem,2
free double category,2
fold vector bundle,2
fold vector bundle,2
canonical isomorphism,2
defect tqft,2
Frobenius algebra,2
general setting,2
elementary topos,2
monoidal closed model,2
commutative monoidal category,2
natural model category,2
natural model,2
enchilada category,2
product functor,2
enchilada category,2
preadditive category,2
additive category,2
Bousfield localization,2
systematic construction,2
Rinehart structure,2
category set,2
light factorization system,2
horizontal target,2
horizontal unit,2
new homology,2
homological dimension,2
target category,2
reflective subfibration,2
principal bundle,2
topological complexity,2
intuitionistic logic,2
right exact functor,2
Frobenius pseudomonoid,2
pseudo ambijunction,2
usual axiom,2
coherent isomorphism,2
cofibrant homotopy,2
homotopy continuous flow,2
continuous flow,2
weak dihomotopy,2
base topos,2
algebra morphism,2
full structure,2
pointed space,2
different class,2
commutative algebra,2
crossed module,2
group case,2
tensor product,2
trivial covering,2
local homeomorphism,2
inclusion functor,2
type theorem,2
stable homotopy category,2
quantic conuclei,2
certain condition,2
complete characterization,2
Harrison cohomology,2
Quillen cohomology,2
denotational semantic,2
new model,2
different notion,2
singular chain complex,2
singular chain,2
pointed set,2
algebraic model,2
duality theory,2
adjoint string,2
idempotent monad,2
multipresentable category,2
abelian tensor product,2
abelian tensor,2
explicit calculation,2
certain homotopy,2
logical axiom,2
strict action,2
first order,2
familiar term,2
Moore complex,2
categorical theory,2
free category,2
finite sum,2
suitable factorization system,2
suitable factorization,2
suitable category,2
flat functor,2
exact protomodular category,2
Mackey functor,2
universal coefficient,2
Künneth formula,2
monoidal abelian category,2
finite group,2
closed structure,2
Maltsev variety,2
exponentiable space,2
ultrafilter monad,2
lax monad,2
thin structure,2
discrete Conduché fibration,2
Conduché fibration,2
discrete opfibration,2
formal property,2
suitable category,2
distributive category,2
commutative negation,2
decision procedure,2
weak finite limit,2
Neumann regular extension,2
regular extension,2
semiprime ring,2
natural example,2
local presentability,2
natural number object,2
number object,2
natural example,2
semigroup theory,2
certain kind,2
open subset,2
domain theory,2
natural definition,2
overt discrete space,2
open map,2
contravariant powerset functor,2
powerset functor,2
simplicial groupoid,2
pointed case,2
strange attractor,2
varietal case,2
central extension,2
Mal’tsev variety,2
surjective homomorphism,2
normal subobject,2
category gp,2
finite graph,2
ordinary category,2
balanced coalgebroid,2
braided monoidal bicategory,2
dimensional analogue,2
surjective functor,2
relational sum,2
proper subcategory,2
branched cover,2
new result,2
canonical map,2
universal functor,2
Grothendieck topology,2
absolute colimit,2
diagram category,2
closed topological hull,2
topological hull,2
closure space,2
uniform space,2
internal characterization,2
Mal’cev category,2
basic category,2
execution path,2
branching homology,2
topological abelian group,2
Mackey coreflection,2
finite ordinal,2
symmetric simplicial set,2
schizophrenic object,2
globular cardinal,2
quotient map,2
explicit formula,2
generalized variety,2
Maltsev category,2
alternation hierarchy,2
point constructor,2
explicit characterization,2
ramified cover,2
braid group,2
free group,2
Scott topology,2
powerdomain construction,2
special kind,2
homotopical exactness,2
categorical model,2
entropic category,2
cocomplete category,2
entropic setting,2
abstract Stone duality,2
certain equaliser,2
compact locale,2
set theory,2
comprehension calculus,2
certain quotient,2
base category,2
cyclic flow,2
flat module,2
group action,2
natural isomorphism,2
commutative monoid,2
arbitrary base,2
information system,2
EA sketch,2
van Kampen theorem,2
Kampen theorem,2
amalgamation property,2
certain monad,2
preservation property,2
associative algebra,2
representative subset,2
recognizable forest,2
usual notion,2
domain bicategory,2
proarrow equipment,2
distribution theory,2
various notion,2
terminal object,2
compact support,2
exactness property,2
Tychonoff space,2
classification theorem,2
Galois extension,2
pointed variety,2
normal epimorphism,2
globular nerve,2
cubical nerve,2
Kan condition,2
Wirthmuller isomorphism,2
isomorphism theorem,2
such result,2
essential point,2
particular case,2
ordinary bicategorie,2
lax transformation,2
dimensional generalization,2
model theory,2
weak inverse,2
3rd cohomology class,2
3rd cohomology,2
group g_h,2
algebra g_h,2
companion paper,2
various result,2
relevant example,2
strict version,2
categorical version,2
relational variable,2
opetopic approach,2
simplicial approximation,2
Baer invariant,2
monoidal object,2
idempotent splitting completion,2
idempotent splitting,2
splitting completion,2
Kleisli category,2
characterization theorem,2
previous paper,2
preordered abelian group,2
normed cubical set,2
left action,2
arbitrary variety,2
cohomology functor,2
small set,2
Cauchy filter,2
Yoneda completion,2
legitimate category,2
geometrical category,2
direct product,2
abelian variety,2
binary coproduct,2
precise form,2
descent theorem,2
lax extension,2
suitable hypothesis,2
commutative cube,2
iterative algebra,2
free monoid,2
planar polycategorie,2
abstract notion,2
strong compact closure,2
compact closure,2
span construction,2
commutative shell,2
appropriate set,2
strong adjunction,2
other model,2
additive functor,2
base quantaloid,2
adjoint functor,2
Galois theory,2
epimorphic hull,2
separable algebra,2
recent field,2
Grothendieck topology,2
lifting property,2
simple condition,2
combinatorial nature,2
constructive set theory,2
constructive set,2
copower object,2
power object,2
disjoint union,2
theoretic structure,2
combinatorial specie,2
quantum mechanic,2
finite coproduct,2
algebraic quantum field,2
classical case,2
equational category,2
topological object,2
natural topology,2
categorical level,2
dimensional version,2
cokernel lemma,2
dimensional cohomology,2
cohomology categorical group,2
unary operation,2
oplax morphism,2
TAC paper,2
global section,2
final section,2
conformal field theory,2
conformal field,2
Bourn localization,2
unital category,2
Tarski variety,2
similar result,2
pointed subtractive variety,2
subtractive variety,2
binary product,2
thin filler condition,2
thin filler,2
filler condition,2
same object,2
other way,2
open problem,2
closed bicategorie,2
various approach,2
theoretic construction,2
computer science,2
natural deduction formulation,2
deduction formulation,2
classical logic,2
intrinsic multiple conclusion,2
multiple conclusion,2
quotient category,2
collarable cospan,2
topological quantum field,2
cubical cospan,2
ring object,2
linear equation,2
free object,2
stable isomorphism,2
bundle gerbe,2
gerbe module,2
closed surface,2
comprehension scheme,2
similar fashion,2
extensive quantity,2
abstract core algebra,2
pseudonatural transformation,2
recursive equation,2
unique solution,2
ball functor,2
Banach space,2
multiplicative structure,2
discrete fibration,2
mathematical structure,2
symmetric categorical group,2
Brauer group,2
categorical analogue,2
general theorem,2
Kleisli bicategory,2
algebraic category,2
dual category,2
general algebra,2
discrete object,2
adjunctible map,2
classical property,2
internal set,2
internal hom,2
theoretic model,2
main purpose,2
general case,2
discrete locale,2
approximate Mal’tsev operation,2
semantic domain,2
weak preservation,2
finitary functor,2
different construction,2
convenient category,2
main advantage,2
internal groupoid,2
affine object,2
second author,2
recent paper,2
Tambara module,2
unary operation,2
exact Mal’cev category,2
left additive category,2
differential operator,2
basic property,2
finite derivation type,2
finite derivation,2
derivation type,2
vector field,2
differentiable stack,2
symbolic dynamic,2
pre-)hilbert category,2
involutive functor,2
continuous linear map,2
base field,2
entwining operator,2
coherent model,2
strong shape equivalence,2
strong shape,2
shape equivalence,2
many case,2
fibred category,2
absolute cr,2
epic space,2
Alster condition,2
subtractive category,2
categorical counterpart,2
subtractive span,2
semiabelian context,2
double central extension,2
third cohomology group,2
third cohomology,2
cohomology group,2
abelian object,2
monadic approach,2
general category,2
comprehensive factorization,2
Hopf formula,2
same time,2
intrinsic description,2
generalized multicategorie,2
unified framework,2
linear operator,2
Dynkin diagram,2
projective geometry,2
Mal’cev context,2
abelian group,2
vertical arrow,2
vertical arrow,2
arrow category,2
right action,2
Möbius category,2
new characterization,2
strong epimorphism,2
transversal homotopy monoid,2
homotopy monoid,2
natural number,2
transversal homotopy category,2
extension system,2
opmonoidal monad,2
Moore object,2
basal graph,2
coherent space,2
partial map,2
covariant presheave,2
cubical transition system,2
cubical transition,2
coherent category,2
adhesive category,2
certain exactness condition,2
certain exactness,2
adhesive category,2
broad sense,2
Connes fusion,2
comparison map,2
weak homotopy equivalence,2
weak homotopy,2
simple formula,2
quantum category,2
various construction,2
generalized notion,2
string diagram,2
abstract framework,2
Grothendieck site,2
algebraic model,2
other kind,2
additional condition,2
partial map category,2
map category,2
monoidal bicategorie,2
opmonoidal monad,2
lax version,2
injective hull,2
submultiplicative order,2
special class,2
algebraic weak factorisation,2
weak factorisation,2
factorisation system,2
trivial fibration,2
classical theory,2
joint paper,2
arbitrary category,2
algebraic object,2
weak Hopf algebra,2
Frobenius monoidal functor,2
probability distribution,2
weak distributive law,2
dimensional cube,2
canonical model,2
elementary quotient completion,2
elementary quotient,2
quotient completion,2
Hopf module,2
useful tool,2
equivalence class,2
conjugation action,2
abelian context,2
commutative square,2
coherence condition,2
closed map,2
autonomous category,2
Higgins commutator,2
enough projective,2
equivalence class,2
Ursini commutator,2
Huq commutator,2
Pedicchio commutator,2
ary site,2
small site,2
categorical setting,2
regular Goursat category,2
Goursat category,2
epimorphic pair,2
normal lax functor,2
exponentiable morphism,2
commutative semigroup,2
ordinary realizability,2
constant object,2
Herbrand realizability,2
realizability topo,2
Schonfinkel algebra,2
applicative morphism,2
supercommutative algebra,2
central importance,2
globular double category,2
regular Mal’tsev category,2
lax monoidal structure,2
principal result,2
lifting theorem,2
Gray category,2
subsequent work,2
funny tensor product,2
funny tensor,2
conceptual proof,2
tropical module,2
free cocompletion,2
equivariant sheaf,2
smoothness condition,2
nontrivial reflective subcategory,2
simplicial category,2
iteration pseudomonad,2
bisimplicial presheave,2
diagonal functor,2
bisimplicial set,2
such morphism,2
Grothendieck completion,2
duoidal category,2
dimensional analogue,2
monoidal closed structure,2
bicategorical localization,2
idempotent core,2
generalized model category,2
generalized model,2
cohesive geometric morphism,2
weak form,2
Quillen model category,2
simple functor,2
present work,2
stability property,2
other category,2
conditional expectation,2
dynamic monetary value,2
relative entropy,2
cartesian lifting,2
complete preorder,2
MacNeille completion,2
technical result,2
rational function,2
path space,2
balanced effective descent,2
quasi spectral space,2
spectral space,2
previous construction,2
groupoid action,2
various kind,2
extra assumption,2
equivalent condition,2
concrete functor,2
categorical polynomial monad,2
total category,2
operad module,2
several entry,2
ordered space,2
local symmetry,2
adjoint action,2
surface holonomie,2
triple category,2
dimensional cell,2
interchange law,2
special kind,2
coreflective hull,2
final object,2
trivial cofibration,2
simplicial structure,2
topological group structure,2
group structure,2
cospan category,2
commutative Frobenius monoid,2
Frobenius monoid,2
duplicial object,2
Lie group,2
finite category,2
finite product,2
second cohomology,2
cocomplete linear category,2
linear category,2
split extension,2
extension classifier,2
control theory,2
linear relation,2
Segal group,2
cofibrant object,2
complete Segal space,2
infinity category,2
monoidal differential category,2
monoidal differential category,2
several reformulation,2
action accessibility,2
exact protomodular category,2
monoidal biclosed structure,2
biclosed structure,2
formal theory,2
sup lattice,2
complete partial order,2
join operation,2
simplified model,2
double monad,2
double functor,2
colimit construction,2
Dedekind completion,2
vector lattice,2
Dedekind vector lattice,2
product structure,2
diffeological space,2
Gray monoid,2
isomorphism class,2
quotient vector,2
spectral vector bundle,2
topological vector space,2
topological vector,2
linearized locale,2
snake lemma,2
additional model category,2
additional model,2
right Bousfield delocalization,2
Bousfield delocalization,2
relative point,2
nilpotent object,2
relative internal action,2
internal action,2
categorical principal bundle,2
geometric context,2
compact regular frame,2
regular frame,2
biadjoint triangle theorem,2
biadjoint triangle,2
adjoint triangle theorem,2
adjoint triangle,2
abelian symmetric quandle,2
coherent site,2
equational theory,2
closure property,2
permutable category,2
permutable category,2
short map,2
action representability,2
particular interest,2
Hopf group monoid,2
Hopf group,2
group monoid,2
Hopf category,2
invertibility hypothesis,2
same result,2
complete lattice,2
injective hull,2
explicit model,2
indexing category,2
Mazur codiagonal,2
lax monoidal functor,2
chemical reaction network,2
chemical reaction,2
multilinear functor calculus,2
multilinear functor,2
functor calculus,2
Levi category,2
concrete datum,2
other word,2
cyclic operad,2
axiomatic definition,2
monic span,2
commutative Frobenius monoid,2
truncation poset,2
left properness,2
general condition,2
cancellative small category,2
open Markov process,2
linear relation,2
steady state,2
group object,2
localic isotropy group,2
localic isotropy,2
mutation mechanism,2
dg vector,2
phd thesis,2
additional hypothesis,2
structural aspect,2
differential bundle,2
equivalent formulation,2
complete inductive groupoid,2
bimodule coalgebra,2
smash product,2
external behavior,2
circuit diagram,2
good atlas,2
dimensional sphere,2
parallel section,2
isotropy group,2
double power,2
formal approach,2
stable derivator,2
Tate object,2
Clifford group,2
monotone continuous map,2
category biequivalent,2
strictification theorem,2
weak duality,2
duality involution,2
duality involution,2
reflexive space,2
Mal’tsev term condition,2
Mal’tsev term,2
term condition,2
symmetric operad,2
canonical functor,2
weak analogue,2
noetherian form,2
homomorphism theorem,2
degenerate boundary,2
representable merge,2
genuine equivariant operad,2
skeletal boundary,2
extranatural transformation,2
algebra x(g,2
algebra x(g)^g,2
invariant multiplicative vector,2
other colimit,2
game semantic,2
sufficient criterion,2
categorical congruence,2
congruence distributivity,2
closed subcategory,2
functor f_z,2
flat torsion,2
relative nerve,2
Grothendieck construction,2
lie algebra,2
Mal’tsev majority category,2
converse implication,2
probability measure,2
Kantorovich monad,2
maximal rigid subcategorie,2
rigid subcategorie,2
cluster tilting subcategorie,2
cluster tilting,2
tilting subcategorie,2
involutive analog,2
restricted diagram,2
cohesive topos,2
lax limit,2
weak model category,2
folk model category,2
folk model,2
poly double category,2
double Chu construction,2
network model,2
free double category,1
quadratic algorithm,1
pinwheel problem,1
special functor,1
cube category,1
colimit argument,1
∞-fold vector bundle,1
∞-fold vector,1
canonical decomposition,1
triple vector bundle,1
triple vector,1
generalised orbifold,1
Turaev theory,1
modular tensor category,1
modular tensor,1
spherical fusion category,1
spherical fusion,1
fusion category,1
group orbifold,1
separable Frobenius algebra,1
Viro state sum,1
Viro state,1
state sum construction,1
state sum,1
sum construction,1
ribbon tensor category,1
ribbon tensor,1
tensor category,1
isomorphic orbifold,1
Yamagami category,1
particular example,1
extension map,1
arithmetic universe,1
Chevalley criterion,1
representable definition,1
main aim,1
Nerve functor,1
Connes conjecture,1
numerous result,1
corresponding infinity,1
equivariant version,1
double poisson,1
Rinehart structure,1
monoidal abelian category,1
convenient way,1
many infinity,1
internal preorder,1
pretorsion theory,1
internal partial order,1
stable regular epimorphism,1
categorical galois structure,1
galois structure,1
topological interpretation,1
latter category,1
horizontal multi,1
single horizontal target,1
latter notion,1
empty horizontal target,1
small object,1
formal category,1
admissible object,1
yoneda structure,1
horizontal unit,1
classical composition,1
coend formula,1
archimedean place,1
structure sheaf,1
singular homology,1
real coefficient,1
Gromov norm,1
compact Riemann surface,1
Riemann surface,1
equivalent necessary condition,1
small cancellative category,1
cancellative category,1
partial morphism category,1
partial morphism,1
morphism category,1
productive terminal,1
valuable tool,1
real world datum,1
real world,1
world datum,1
several approach,1
homology functor,1
arbitrary set,1
combinatorial persistence,1
common categorical framework,1
generalized rank function,1
generalized rank,1
rank function,1
persistence function,1
bottleneck distance,1
novel framework,1
classical equality,1
many category,1
colorable rank,1
persistence diagram,1
multicolored bottleneck distance,1
multicolored bottleneck,1
bottleneck distance,1
semisimple abelian category,1
multicolored persistent homology,1
persistent homology,1
point cloud datum,1
point cloud,1
cloud datum,1
local map,1
homotopy invariance,1
equivariant principal bundle,1
Schnirelmann category,1
invariant topological complexity,1
abstract algebraic structure,1
same sense,1
canonical axiomatisation,1
possible such axiomatisation,1
such axiomatisation,1
medial map,1
inference rule,1
free deductive system,1
boolean logic,1
behaved example,1
category pt(c,1
comma category,1
single free algebra,1
empty set,1
generalized space,1
decidable topos,1
natural common generalization,1
idempotent identity,1
way site,1
way site,1
site criterion,1
subcanonical site,1
2d topological quantum,1
topological quantum field,1
topological quantum,1
quantum field theory,1
quantum field,1
commutative Frobenius algebra,1
2d tqft,1
adjoint monad,1
free completion,1
powerful result,1
nice feature,1
dihomotopy type,1
weak dihomotopy equivalence,1
dihomotopy equivalence,1
full dihomotopy relation,1
full dihomotopy,1
dihomotopy relation,1
previous work,1
weak dihomotopy equivalence,1
dihomotopy equivalence,1
weak factorization system,1
pointed protomodular category,1
pointed protomodular category,1
affine category,1
internal construction,1
specific characterization,1
abelian object,1
generalized congruence,1
concrete construction,1
various other class,1
other class,1
epimorphic functor,1
distinct enrichment,1
many monoidal structure,1
unique isomorphism,1
such distinction,1
precise mathematical definition,1
mathematical definition,1
monad property,1
restricted class,1
idempotent dual,1
stable local coequalizer,1
local coequalizer,1
familiar bimodule,1
bicategory rel,1
general module,1
unstructured endo-1,1
structure interpolad,1
full sub,1
idempotent relation,1
interpolative semi,1
cell composition,1
homotopy group π_k,1
group π_k,1
different closed model,1
same class,1
cellular pointed map,1
pointed map,1
other structure,1
neat description,1
inverse functor,1
precise characterization,1
limit specification,1
colimit specification,1
other sketch,1
strong colimit,1
useful property,1
limited completeness,1
sketch model,1
precise statement,1
many practical example,1
practical example,1
unit \etab,1
pullback p^*f,1
absolute notion,1
general relative one,1
relative one,1
class cov(b,1
↓b ⊂c,1
many question,1
disparate condition,1
old result,1
generalized central extension,1
quintessential localization,1
idempotent natural endomorphism,1
natural endomorphism,1
persistent localization,1
boolean topos,1
basic fact,1
combinatorial groupoid theory,1
combinatorial groupoid,1
groupoid theory,1
gauge group bundle,1
gauge group,1
group bundle,1
characteristic class,1
first neighbourhood,1
basic combinatorial structure,1
combinatorial structure,1
Van Kampen type,1
Kampen type theorem,1
Kampen type,1
complex method,1
classical infinite loopspace,1
infinite loopspace machine,1
infinite loopspace,1
loopspace machine,1
connective spectra,1
strong promonoidal functor,1
promonoidal functor,1
existential quantification,1
strong promonoidal functor,1
promonoidal functor,1
free monoidal category,1
promonoidal category,1
like transform,1
convolution product,1
cartesian product,1
orthomudular lattice,1
non associative disjunction,1
associative disjunction operation,1
associative disjunction,1
disjunction operation,1
associative linear logic,1
prime characteristic,1
account torsion,1
simple proof,1
presheaf category,1
particular kind,1
Finite Sum sketch,1
Sum sketch,1
interesting result,1
software engineering,1
medial rule,1
deduction rule,1
classical propositional logic,1
propositional logic,1
