"We introduce various notions of partial topos, i.e. `topos without terminal object'.",,partial topos,terminal object,,,,
Examples for the weaker notions are local homeomorphisms and discrete fibrations.,,local homeomorphisms,discrete fibrations,,,,
"In such a framework, the globular nerve always satisfies the Kan condition.",,globular nerve,Kan condition,,,,
We give a categorical discussion of such results.,0,,,,,,
Another is to make clear which parts of the proofs of such results are formal.,,formal proofs,,,,,
In this case we recover the notion of a linear bicategory.,,bicategory,linear bicategory,,,,
"The poly notions of functors, modules and their transformations are introduced as well.",,polyfunctors,polymodules,poly transformations,,,
These in fact correspond to modules having special properties.,,module,,,,,
In many applications of quasigroups isotopies and homotopies are more important than isomorphisms and homomorphisms.,,quasigroups,isotopies,homotopies,isomorphisms,homomorphism,
"We prove various results relating it to exponentiation of locales, including the following.",?,exponentiation ,locales,,,,
Those classes are natural examples of reflective subcategories defined by proper classes of morphisms.,,classes,reflective subcategories,morphisms,,,
Adamek and Sousa's result follows from ours.,0,,,,,,
The paper develops the previously proposed approach to constructing factorization systems in general categories.,,factorization system,,,,,
The problem of relating a factorization system to a pointed endofunctor is considered.,,factorization system,pointed endofunctor,,,,
Some relevant examples in concrete categories are given.,,concrete categories,,,,,
The symmetric case can easily be recovered.,0,,,,,,
This paper proposes a recursive definition of V-n-categories and their morphisms.,,recursive definition,V-n-category,,,,
Our result relies heavily on some unpublished work of A. Kock from 1989.,0,,,,,,
The required simplicial approximation results for simplicial sets and their proofs are given in full.,,simplicial approximation,simplicial set,,,,
Subdivision behaves like a covering in the context of the techniques displayed here.,,subdivision,covering,,,,
"Several exact sequences, relative to a subfunctor of the identity functor, are obtained.",,exact sequences,subfunctor,identity functor,,,
The resulting notion of centrality fits into Janelidze and Kelly's theory of central extensions.,,centrality,central extensions,,,,
,,,,,,,
The centre of a monoidal category is a braided monoidal category.,,centre,monoidal category,braided monoidal category,,,
Monoidal categories are monoidal objects (or pseudomonoids) in the monoidal bicategory of categories.,,monoidal category,pseudomonoid,monoidal bicategory,,,
Some properties and sufficient conditions for existence of the construction are examined.,0,,,,,,
"Having many corollaries, this was an extremely useful result.",0,,,,,,
"Moreover, as the authors soon suspected, it specializes a much more general result.",0,,,,,,
We characterize semi-abelian monadic categories and their localizations.,,semi-abelian monodic category,monadic category,localization,,,
We add some guiding examples.,0,,,,,,
We generalize to an arbitrary variety the von Neumann axiom for a ring.,,von Neuman axiom,ring,variety,,,
We study its implications on the purity of monomorphisms and the flatness of algebras.,,purity of monos,monomorphism,flatness of algebras,,,
"However, we also present a non-varietor satisfying Birkhoff's Variety Theorem.",,non-varietor,Birkhoff's Variety Theorem,,,,
It turns out that many categorical properties are well behaved under enlargements.,,enlargements,,,,,
We describe a completion of gms's by Cauchy filters of formal balls.,?,Cauchy filter,formal balls,completion of gms?,,,
The completion generalizes the usual one for metric spaces.,,completion,metric spaces,completion of metric spaces,,,
"Various examples and constructions are given, including finite products.",,finite products,,,,,
A precise concept of concrete geometrical category is introduced in an axiomatic way.,,concrete geometrical category,,,,,
"In this article, we present a general construction of such an extension.",0,,,,,,
These results have recently been generalised to all dimensions by Philip Higgins.,,all dimensions,,,,,
We give two related universal properties of the span construction.,,universal properties,span construction,,,,
The first involves sinister morphisms out of the base category and sinister transformations.,,sinister morphisms,base category,sinister transformations,,,
There are no coherence requirements.,,coherence conditions,,,,,
We describe this semantics incrementally.,,semantics?,,,,,
Then we look at the universal property required to interpret each type constructor.,,universal property,type constructor,,,,
And we give ways of constructing models from other models.,,model,,,,,
"This conjecture is false, but there is an equational characterization of absolute homology.",,equational characterization,absolute homology,,,,
The main theorem comes close to a characterisation of this phenomenon.,0,,,,,,
"This work is a contribution to a recent field, Directed Algebraic Topology.",,Directed Algebraic Topology,,,,,
This paper constructs models of intuitionistic set theory in suitable categories.,,intuitionistic set theory,,,,,
We provide various examples of this situation of a combinatorial nature.,0,,,,,,
"For the elementary case, little more is known.",0,,,,,,
"Finally, models of these theories are constructed in the category of ideals.",,ideals,,,,,
We discuss holonomy and prove an analogue of the Ambrose-Singer theorem.,,holonomy,Ambrose-Singer theorem,,,,
"The main result is now, that such monads form a stack.",,monad,stack,,,,
The equivalence is FOLDS equivalence of the FOLDS-Specifications of the two concepts.,,equivalence ,FOLDS,FOLDS-specification,,,
A representation theory for (strict) categorical groups is constructed.,,representation theory,(strict) categorical groups,,,,
Each categorical group determines a monoidal bicategory of representations.,,categorical group,monoidal bicategory of representations.,,,,
"Typically, these bicategories contain representations which are indecomposable but not irreducible.",,bicategory,indecomposable representation,irreducible representation,,,
A simple example is computed in explicit detail.,0,,,,,,
Universal properties of these constructions are presented.,,universal properties,,,,,
We then compute the cyclic spectrum of any finitely generated Boolean flow.,,cyclic spectrum,finitely generated Boolean flow,,,,
Characterization theorems for unitary restriction categories are derived.,,unitary restriction categories,,,,,
Let L be an arbitrary orthomodular lattice.,,orthomodular lattice,,,,,
The proof of the thin filler conditions uses chain complexes and chain homotopies.,,thin filler condition,chain complex,chain homotopy,,,
We give a Dialectica-style interpretation of first-order classical affine logic.,,Dialectica-style interpretation,first-order classical affine logic.,,,,
"The constructions have the same objects, but are rather different in other ways.",0,,,,,,
We also point out interesting open problems concerning the Dialectica construction.,0,,,,,,
This view helps to clarify the composition of Chu-spans.,,Chu-spans,,,,,
Here we introduce collarable (and collared) cospans between topological spaces.,,collared cospans, collared cospans,topological spaces,,,
Nuclei of categories of modules are considered as an example.,,Nuclei of categories of modules,,,,,
We then use these equations to classify operads with coherent unit actions.,,operads,coherent unit actions,,,,
We discuss an approach to constructing a weak n-category of cobordisms.,,weak n-category of cobordisms.,cobordism,,,,
For general dimensions k and n we indicate what the construction should be.,,dimension,,,,,
We give here a positive answer to this question.,0,,,,,,
A question was left open: is there more structure yet to be defined?,0,,,,,,
In the process a number of facts about abstract core algebras must be developed.,,abstract core algebras,,,,,
The mistaken version is used later in that paper.,0,,,,,,
The straightforward extension to crossed complexes is also considered.,,crossed complexes,,,,,
"Bicat is the tricategory of bicategories, homomorphisms, pseudonatural transformations, and modifications.",,Bicat,tricategory,bicategory,homomorphism pseudonatural transformations,modifications,
We show that these two tricategories are not triequivalent.,,tricategory,triequivalent,,,,
It is shown that a cartesian bicategory is a symmetric monoidal bicategory.,,cartesian bicategory,symmetric monoidal bicategor,,,,
Those systems that have a unique solution in every iterative algebra are characterized.,,iterative algebra,,,,,
Some consequences and applications are presented.,0,,,,,,
We then describe two ways to construct framed bicategories.,,framed bicategories,,,,,
"In particular, the theory of Kan extensions extends to the setting of Grothendieck derivators.",,Kan extensions,Grothendieck derivators,,,,
"In particular, Rep(C, D) always has an initial object.",,initial object,,,,,
"In those two cases, the functors in question may have surprisingly opulent structures.",0,,,,,,
The latter leads to a deeper understanding of the notion of linear functor.,,linear functor,,,,,
"We replace connected components by constructively complemented, or definable, monomorphisms.",,connected components,definable monos,complemented monos,,,
This paper deals with Kan extensions in a weak double category.,,Kan extensions,weak double category,,,,
We show that their use can be avoided and all remaining results remain correct.,0,,,,,,
See note on p. 24.,0,,,,,,
Our paper extends these ideas somewhat.,0,,,,,,
We give some examples in algebra and in topos theory.,,algebra,topos theory,,,,
This paper revisits the authors' notion of a differential category from a different perspective.,,differential category,,,,,
We present an analysis of the basic properties of Cartesian differential categories.,,Cartesian differential categories,,,,,
"The retract (A, a) is not free in general.",,retract,free map,,,,
We study convergent (terminating and confluent) presentations of n-categories.,,convergent,presentation,terminating presentation,confluent presentation,n-category,
We characterise this property by using the notion of critical branching.,,critical branching,,,,,
This paper introduces the notions of vector field and flow on a general differentiable stack.,,vector field,vector flow,general differentiable stack,,,
Both of them generalise the concept of algebra on a monad T.,,algebra on a monad T,,,,,
We define eventually cyclic Boolean flows and the eventually cyclic spectrum of a Boolean flow.,,cyclic Boolean flows,cyclic spectrum of a Boolean flow,,,,
We axiomatically define (pre-)Hilbert categories.,,(pre-)Hilbert categories,,,,,
The axioms resemble those for monoidal Abelian categories with the addition of an involutive functor.,,monoidal Abelian categories,involutive functor,,,,
Neither enrichment nor a complex base field is presupposed.,,enrichment,complex base,,,,
A comparison to other approaches will be made in the introduction.,0,,,,,,
Distributive laws between monads (triples) were defined by Jon Beck in the 1960s.,,distributive laws,monads,triples,,,
Particular cases are the entwining operators between algebras and coalgebras.,,entwning operators,algebras,coalgebras,,,
For such a class of spaces homotopy orthogonality implies enriched orthogonality.,,homotopy,orthogonality,enriched orthogonality,,,
The state space of a machine admits the structure of time.,,state space?,machine,structure of time,,,
The set of such components often gives a computable invariant of machine behavior.,,computable invariant,,,,,
"In the general case, no such meaningful partition could exist.",,partition,,,,,
Thus we hope to extend geometric techniques in static program analysis to looping processes.,,static pogramming analysis,looping process,,,,
The present paper starts by supplying this last clause with a precise meaning.,0,,,,,,
"This framework allows us to define push-forwards for Witt groups, for example.",,push-forward,Witt-group,,,,
"Protomodularity, in the pointed case, is equivalent to the Split Short Five Lemma.",,protomodularity,Split Short Five lemma,,,,
"Under condition (I), every multiplicative graph is an internal category.",,multiplicative graph,internal category,,,,
We describe a simplified categorical approach to Galois descent theory.,,Galois descent theory,,,,,
We conclude with applications to examples.,0,,,,,,
Now coproduct preservation yields an approach to product measures.,,coproduct preservation,product measures,,,,
Then we present three applications of groupoidification.,,groupoidification,,,,,
The first is to Feynman diagrams.,,Feymann diagram,,,,,
The second application is to Hecke algebras.,,Hecke algebras,,,,,
The third application is to Hall algebras.,,Hall algebras,,,,,
We present two generalizations of the Span construction.,,span construction,,,,,
Let R be a commutative ring whose complete ring of quotients is R-injective.,,commutative ring,complete ring of quotients,R-injective,,,
This allows presentation of the stochastic automata as algebras for this distributive law.,,stochastic automata,algebra,distributive law,,,
"The ``if"" directions fail for semi-abelian varieties.",,semi-abelian varieties,,,,,
We compute some simple examples and explore the elementary properties of these invariants.,,invariants,,,,,
The result then applies to quantum categories and bialgebroids.,,quantum categories,bialgebroids,,,,
"But, is this really the correct level of generalisation?",0,,,,,,
Symbolic dynamics is partly the study of walks in a directed graph.,,symbolic dynamics,walks,directed graph,,,
We determine the resulting homotopy category.,,homotopy category,,,,,
"To each graph we associate a basal graph, well defined up to isomorphism.",,basal graph,isomorphism,,,,
"We combine two recent ideas: cartesian differential categories, and restriction categories.",,cartesian differential categories,,restriction categories,,,
The category of Set-valued presheaves on a small category B is a topos.,,Set-valued presheaves,small categort,topos,,,
A flow on a compact Hausdorff space is an automorphism.,,flow,compact Hausdorff space,automorphism,,,
Vertical arrows give rise to modules between representables.,,vertical arrows,modules,representables,,,
Various concerns suggest looking for internal co-categories in categories with strong logical structure.,,internal co-categories,logical structure?,,,,
We give a new proof of the fact that every topos is adhesive.,,topos,adhesive,,,,
"We compare various different definitions of ""the category of smooth objects"".",,category of smooth objects,,,,,
This therefore applies beyond the question of categories of smooth spaces.,,ategory of smooth spaces,,,,,
We indicate also some possible novel geometric interest in such algebras.,0,,,,,,
"In this paper we will give a new, elementary proof of this result.",0,,,,,,
We clarify details of that work.,0,,,,,,
Our main conceptual tool is a monad on the category of grouped toposes.,,monad,grouped toposes,,,,
We also discuss some new examples and results motivated by this characterization.,0,,,,,,
It also gives an easy way to calculate the sources and targets of opetopes.,,opetopes,source,target,,,
"Finally, we exhibit several free constructions relating the different classes of categories under consideration.",,free constructions,,,,,
Our main results are presented at the level of monoidal bicategories.,,monoidal bicategory,,,,,
"In fact, we provide some very general results connecting opmonoidal monads and skew monoidales.",,opmonoidal monads,skew monoidales,,,,
We prove that congruence lattices of Morita equivalent small categories are isomorphic.,,congruence lattices,Morita equivalent small categories,isomorphic,,,
In the final section applications to cartesian monoidal categories are considered.,,cartesian monoidal categories,,,,,
We develop an alternative approach to star-autonomous comonads via linearly distributive categories.,,star-autonomous comonads,linearly distributive categories,,,,
Further applications are given.,0,,,,,,
The paper presents algebraic and logical developments.,0,,,,,,
This development involves a study of clone and double-dualization structures.,,clone,double-dualization structure,,,,
We also prove that each construction preserves comprehension.,,comprehension,,,,,
We study the composition of modules between lax functors of weak double categories.,,composition,modules,lax functors,weak double categoies,,
These axioms are commutative squares involving only co-smash products.,,commutative squares,co-smash products,,,,
In this paper we introduce the corresponding morphism concept and examine its properties.,,morphism,,,,,
"Moreover, we show that separated L-complete morphisms belong to a factorization system.",,separated L-complete morphisms,factorization system,,,,
"In fact, even Higgins commutators suffice.",,Higgins commutators,,,,,
When Îº=Ï‰ it includes the pretopos completion of a coherent category.,?,pretopos completion,coherent category,,,,
We prove four characterization theorems dealing with adhesive categories and their variants.,,adhesive categories,,,,,
There is a lot of redundancy in the usual definition of adjoint functors.,,adjoint functors,,,,,
We define and prove the core of what is required.,0,,,,,,
First we do this in the hom-enriched context.,,hom-enriched context,,,,,
"Finally, we describe a doctrinal setting.",,doctrinal setting,,,,,
Such a theory is called a super Fermat theory.,,super Fermat theory,,,,,
Any category of superspaces and smooth functions has an associated such theory.,,superspace,smooth functions,,,,
"This includes both real and complex supermanifolds, as well as algebraic superschemes.",,real manifold,complex manifold,algebraic superschemes,,,
These include conditions on relations as well as conditions on simplicial objects.,,relations,simplificial objects,,,,
We also give various examples and counterexamples.,0,,,,,,
Cartesian differential categories abstractly capture the notion of a differentiation operation.,,Cartesian differential categories,differentiation operation,,,,
"We show that this exterior derivative, as expected, produces a cochain complex.",,exterior derivative,cochain complex,,,,
It follows that complicial sets are equivalent to sets with complicial identities.,,complicial sets,complicial identities,,,,
The resulting structures are called sets with complicial identities.,,sets with complicial identities,,,,,
These two adjunctions are respectively generalizations of Isbell adjunctions and Kan extensions in category theory.,,adjunctions,Isbell adjunctions,Kan extensions,,,
We also briefly study 3-categories with weak inverses.,,3-categories,weak inverses,,,,
We finish by two questions about the problem suggested by the title of this text.,0,,,,,,
This proposition is then applied to the study of quotient geometric theories and subtoposes.,,geometric theories,quotient geometric theories,subtoposes,,,
We introduce an axiomatic framework for the parallel transport of connections on gerbes.,,gerbes,connections on gerbes.,parallel transport,,,
Suppose that S is a space.,0,,,,,,
This result is analogous to the correspondence between measures and integrals.,,measures,integrals,,,,
"So, for example, we can speak of integration against an ultrafilter.",,integration,ultrafilter,,,,
We are particularly interested in pseudomonads that arise from KZ-doctrines.,,pseudomonads,KZ-doctrines,,,,
Tightly bounded KZ-doctrines are shown to be idempotent.,,KZ-doctrines,tightly bound KZ-doctrines,idempotent,,,
We characterize topos inclusions corresponding to a general form of relative computability.,,topos inclusion,relative computability,,,,
We characterize pcas whose realizability topos admits a geometric morphism to the effective topos.,,pcas,realizability topos,geometric morphism,effective topos,,
We thereby resolve two of the problems with known approaches to bicategorical localization.,,bicategorical localization,,,,,
We show that the answer is positive by building some examples.,0,,,,,,
We set forth the basic theory of such enriched factorization systems.,,enriched factorization systems,,,,,
The possibility of spectra in other categories is discussed.,,spectra,category,,,,
We introduce a category that represents varying risk as well as ambiguity.,,,,,,,
"Then, we reformulate dynamic monetary value measures as a presheaf for the category.",,,,,,,
We use a number of interesting categories related to probability theory.,,,,,,,
A notion of central importance in categorical topology is that of topological functor.,,,,,,,
"In the nilpotent case, this nerve is known to be a Kan complex.",,,,,,,
We work through numerous examples to demonstrate the power of these notions.,,,,,,,
"If the category is additive, we define a sheaf of categories of analytic functions.",,,,,,,
We use these relations to define analytic versions of Arakelov compactifications of affine arithmetic varieties.,,,,,,,
They are used in the paper only to prove Corollary~8.3.,,,,,,,
A proof of this corollary is given without them.,,,,,,,
Here ``balanced'' can be omitted if the category is additive.,,,,,,,
We introduce the notion of mutation pairs in pseudo-triangulated categories.,,,,,,,
This result unifies many previous constructions of quotient triangulated categories.,,,,,,,
We study extra assumptions on pretopologies that are needed for this theory.,,,,,,,
We check these extra assumptions in several categories with pretopologies.,,,,,,,
Functors between groupoids may be localised at equivalences in two ways.,,,,,,,
We show that both approaches give equivalent bicategories.,,,,,,,
"In this paper, we use the language of operads to study open dynamical systems.",,,,,,,
The syntactic architecture of such interconnections is encoded using the visual language of wiring diagrams.,,,,,,,
Moreover it enables us to characterise operads as categorical polynomial monads in a canonical way.,,,,,,,
have two useful gradings related by isomorphisms which change the degree.,,,,,,,
The result is a double category C//G which describes the local symmetries of C.,,,,,,,
There are few known computable examples of non-abelian surface holonomy.,,,,,,,
"Using these ideas, we also prove that magnetic monopoles form an abelian group.",,,,,,,
We introduce a 3-dimensional categorical structure which we call intercategory.,,,,,,,
We show that these fit together to produce a strict triple category of intercategories.,,,,,,,
This is the third paper in a series.,,,,,,,
The effect of any bundle of Lie groups is trivial.,,,,,,,
All quotients of a given Lie groupoid determine the same effect.,,,,,,,
Our analysis is relevant to the presentation theory of proper smooth stacks.,,,,,,,
This paper extends the Day Reflection Theorem to skew monoidal categories.,,,,,,,
Let C be a finite category.,,,,,,,
We also give a presentation for FinRelk.,,,,,,,
For full subcategories the answer is affirmative.,,,,,,,
We put a model structure on the category of categories internal to simplicial sets.,,,,,,,
We also study the homotopy theory of internal presheaves over an internal category.,,,,,,,
Monoidal differential categories provide the framework for categorical models of differential linear logic.,,,,,,,
The coKleisli category of any monoidal differential category is always a Cartesian differential category.,,,,,,,
We focus primarily on the definitions due to Batanin and Leinster.,,,,,,,
In both cases we define the join operation as union.,,,,,,,
In the present article we describe constructions of model structures on general bicomplete categories.,,,,,,,
"Constant cosheaves are constructed, and there are established connections with shape theory.",,,,,,,
"Unlike the uniform completion, the Dedekind completion of a vector lattice is not functorial.",,,,,,,
Our examples include the gleaf of metric spaces and the gleaf of joint probability distributions.,,,,,,,
Examples of compositories include nerves of categories and compositories of higher spans.,,,,,,,
We also characterize the irreducible and indecomposable representations.,,,,,,,
We consider locales B as algebras in the tensor category sl of sup-lattices.,,,,,,,
This equivalence follows from two independent results.,,,,,,,
We do not require the base monoidal category M to be closed or symmetric monoidal.,,,,,,,
"We study the properties of these functors, and calculate some examples.",,,,,,,
"We give several examples of compact closed bicategories, then review previous work.",,,,,,,
We develop a homotopy theory of categories enriched in a monoidal model category V.,,,,,,,
The model structure is shown to be left proper.,,,,,,,
Our results hold in any pointed regular protomodular category.,,,,,,,
We show that the morphism axiom for n-angulated categories is redundant.,,,,,,,
In this situation we need the notion of a delocalization.,,,,,,,
Here we establish its significance in an algebraic context.,,,,,,,
Birkhoff's variety theorem from universal algebra characterises equational subcategories of varieties.,,,,,,,
We give an analogue of Birkhoff's theorem in the setting of enrichment in categories.,,,,,,,
We will also see that these constructions preserve right properness and compatibility with simplicial enrichment.,,,,,,,
The purpose of this paper is two-fold.,,,,,,,
"In the case of sheaves, we use local equivalence as the weak equivalence.",,,,,,,
The theory of derivators enhances and simplifies the theory of triangulated categories.,,,,,,,
We present a theory of cohomological as well as homological descent in this language.,,,,,,,
The main motivation is a descent theory for Grothendieck's six operations.,,,,,,,
Several consequences of examining particular classes of hypercrossed complexes of Lie algebras are presented.,,,,,,,
Two states are past-similar if they have homotopic pasts.,,,,,,,
"However, R(S) can be seen as a new type of quantale completions of S.",,,,,,,
"Moreover, we exhibit the precise relationship between holomorphic and smooth gerbes.",,,,,,,
This is phrased in terms of a multilinear functor calculus in a bicategory.,,,,,,,
Connections are an important tool of differential geometry.,,,,,,,
This paper investigates their definition and structure in the abstract setting of tangent categories.,,,,,,,
A compactification technique is developed based on Shanin's method.,,,,,,,
Among these are different versions of the acyclic models method.,,,,,,,
Such a functor between effective categories is known to be an equivalence.,,,,,,,
Databases have been studied category-theoretically for decades.,,,,,,,
The aim of this paper is to present a perspective that addresses this issue.,,,,,,,
"Throughout, we emphasise how corelations model interconnection.",,,,,,,
All these structures can be realised as algebras over polynomial monads.,,,,,,,
Many important monads are shown to be tame polynomial.,,,,,,,
This construction generalizes the nerve construction for differential graded categories given by Lurie.,,,,,,,
We study the structure of the category of polynomials in a locally cartesian closed category.,,,,,,,
"This composition, however, is somewhat complex and difficult to work with.",,,,,,,
